=== 2. PROCESSES & SERVICES ===
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         190  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/34:0H-events_highpri]
root         191  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/35]
root         192  0.0  0.0      0     0 ?        S    Aug07   0:17  \_ [migration/35]
root         193  0.0  0.0      0     0 ?        S    Aug07   3:31  \_ [ksoftirqd/35]
root         195  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/35:0H-events_highpri]
root         196  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/36]
root         197  0.0  0.0      0     0 ?        S    Aug07   0:17  \_ [migration/36]
root         198  0.0  0.0      0     0 ?        S    Aug07   3:16  \_ [ksoftirqd/36]
root         200  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/36:0H-events_highpri]
root         201  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/37]
root         202  0.0  0.0      0     0 ?        S    Aug07   0:16  \_ [migration/37]
root         203  0.0  0.0      0     0 ?        S    Aug07   3:14  \_ [ksoftirqd/37]
root         205  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/37:0H-events_highpri]
root         206  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/38]
root         207  0.0  0.0      0     0 ?        S    Aug07   0:16  \_ [migration/38]
root         208  0.0  0.0      0     0 ?        S    Aug07   3:12  \_ [ksoftirqd/38]
root         210  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/38:0H-events_highpri]
root         211  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/39]
root         212  0.0  0.0      0     0 ?        S    Aug07   0:17  \_ [migration/39]
root         213  0.0  0.0      0     0 ?        S    Aug07   3:12  \_ [ksoftirqd/39]
root         215  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/39:0H-events_highpri]
root         216  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/40]
root         217  0.0  0.0      0     0 ?        S    Aug07   0:24  \_ [migration/40]
root         218  0.0  0.0      0     0 ?        S    Aug07   2:58  \_ [ksoftirqd/40]
root         220  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/40:0H-events_highpri]
root         221  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/41]
root         222  0.0  0.0      0     0 ?        S    Aug07   0:15  \_ [migration/41]
root         223  0.0  0.0      0     0 ?        S    Aug07   3:03  \_ [ksoftirqd/41]
root         225  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/41:0H-events_highpri]
root         226  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/42]
root         227  0.0  0.0      0     0 ?        S    Aug07   0:14  \_ [migration/42]
root         228  0.0  0.0      0     0 ?        S    Aug07   3:08  \_ [ksoftirqd/42]
root         230  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/42:0H-events_highpri]
root         231  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/43]
root         232  0.0  0.0      0     0 ?        S    Aug07   0:14  \_ [migration/43]
root         233  0.0  0.0      0     0 ?        S    Aug07   3:08  \_ [ksoftirqd/43]
root         235  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/43:0H-events_highpri]
root         236  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/44]
root         237  0.0  0.0      0     0 ?        S    Aug07   0:13  \_ [migration/44]
root         238  0.0  0.0      0     0 ?        S    Aug07   3:08  \_ [ksoftirqd/44]
root         240  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/44:0H-events_highpri]
root         241  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/45]
root         242  0.0  0.0      0     0 ?        S    Aug07   0:13  \_ [migration/45]
root         243  0.0  0.0      0     0 ?        S    Aug07   3:07  \_ [ksoftirqd/45]
root         245  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/45:0H-events_highpri]
root         246  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/46]
root         247  0.0  0.0      0     0 ?        S    Aug07   0:13  \_ [migration/46]
root         248  0.0  0.0      0     0 ?        S    Aug07   3:09  \_ [ksoftirqd/46]
root         250  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/46:0H-events_highpri]
root         251  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/47]
root         252  0.0  0.0      0     0 ?        S    Aug07   0:15  \_ [migration/47]
root         253  0.0  0.0      0     0 ?        S    Aug07   3:10  \_ [ksoftirqd/47]
root         255  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/47:0H-events_highpri]
root         256  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/48]
root         257  0.0  0.0      0     0 ?        S    Aug07   0:15  \_ [migration/48]
root         258  0.0  0.0      0     0 ?        S    Aug07   2:50  \_ [ksoftirqd/48]
root         260  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/48:0H-events_highpri]
root         261  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/49]
root         262  0.0  0.0      0     0 ?        S    Aug07   0:13  \_ [migration/49]
root         263  0.0  0.0      0     0 ?        S    Aug07   2:51  \_ [ksoftirqd/49]
root         265  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/49:0H-events_highpri]
root         266  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/50]
root         267  0.0  0.0      0     0 ?        S    Aug07   0:13  \_ [migration/50]
root         268  0.0  0.0      0     0 ?        S    Aug07   2:54  \_ [ksoftirqd/50]
root         270  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/50:0H-events_highpri]
root         271  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/51]
root         272  0.0  0.0      0     0 ?        S    Aug07   0:13  \_ [migration/51]
root         273  0.0  0.0      0     0 ?        S    Aug07   2:57  \_ [ksoftirqd/51]
root         275  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/51:0H-events_highpri]
root         276  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/52]
root         277  0.0  0.0      0     0 ?        S    Aug07   0:13  \_ [migration/52]
root         278  0.0  0.0      0     0 ?        S    Aug07   2:59  \_ [ksoftirqd/52]
root         280  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/52:0H-events_highpri]
root         281  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/53]
root         282  0.0  0.0      0     0 ?        S    Aug07   0:13  \_ [migration/53]
root         283  0.0  0.0      0     0 ?        S    Aug07   2:54  \_ [ksoftirqd/53]
root         285  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/53:0H-events_highpri]
root         286  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/54]
root         287  0.0  0.0      0     0 ?        S    Aug07   0:13  \_ [migration/54]
root         288  0.0  0.0      0     0 ?        S    Aug07   2:57  \_ [ksoftirqd/54]
root         290  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/54:0H-events_highpri]
root         291  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/55]
root         292  0.0  0.0      0     0 ?        S    Aug07   0:14  \_ [migration/55]
root         293  0.0  0.0      0     0 ?        S    Aug07   2:57  \_ [ksoftirqd/55]
root         295  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/55:0H-events_highpri]
root         296  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/56]
root         297  0.0  0.0      0     0 ?        S    Aug07   0:14  \_ [migration/56]
root         298  0.0  0.0      0     0 ?        S    Aug07   3:55  \_ [ksoftirqd/56]
root         300  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/56:0H-events_highpri]
root         301  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/57]
root         302  0.0  0.0      0     0 ?        S    Aug07   0:14  \_ [migration/57]
root         303  0.0  0.0      0     0 ?        S    Aug07   2:41  \_ [ksoftirqd/57]
